"","trait","id","lor","se","pval"
"1","Operative procedures - main OPCS: X99.8 No procedure performed","ukb-b-19950",0.945126961732191,0.053400362660416,4.27679201550857e-70
"2","Overall health rating","ukb-b-6306",0.501052932460832,0.0337489542938777,7.33264985367743e-50
"3","Attendance/disability/mobility allowance: None of the above","ukb-b-3855",-1.08758235171182,0.0738726500410781,4.62967149581476e-49
"4","Main speciality of consultant (recoded): General medicine","ukb-b-15784",0.823036792327677,0.057023813239984,3.19832092396716e-47
"5","Intended management of patient (recoded): No overnight hospital stay","ukb-b-14598",0.829180979290232,0.0578112237181987,1.18007734715791e-46
"6","Methods of admission to hospital (recoded): Emergency admission: A&E","ukb-b-10559",0.809801319080348,0.0565313542932949,1.5313037875752e-46
"7","Attendance/disability/mobility allowance: Disability living allowance","ukb-b-20214",1.1060313375108,0.0815489171209167,6.65499937303624e-42
"8","Intended management of patient (recoded): One or more nights hospital stay","ukb-b-16597",0.739914086436874,0.0548955558298273,2.09095120105926e-41
"9","Waist circumference","ukb-b-9405",0.353258242532871,0.0267730079686572,9.42953497415388e-40
"10","Methods of admission to hospital (recoded): Elective admission: Booked","ukb-b-8846",0.69953669351752,0.0534277583165776,3.60432948865391e-39
"11","Destinations on discharge from hospital (recoded): Usual Place of residence","ukb-b-11749",0.879384866979767,0.0686345134978692,1.39429179340304e-37
"12","Methods of discharge from hospital (recoded): Discharged on clinical advice/consent","ukb-b-5476",0.86319849824101,0.0688392262002457,4.54764234615501e-36
"13","Long-standing illness, disability or infirmity","ukb-b-13764",0.6801447546304,0.0545576530577365,1.13665415116892e-35
"14","Townsend deprivation index at recruitment","ukb-b-10011",0.329336036945389,0.0266833439295084,5.35475490626235e-35
"15","Diagnoses - secondary ICD10: I10 Essential (primary) hypertension","ukb-b-12493",0.780271964780633,0.0637324685442809,1.83300722109102e-34
"16","Main speciality of consultant (recoded): General surgery","ukb-b-6541",0.670150660087048,0.0553470025905133,9.56087358643404e-34
"17","Usual walking pace","ukb-b-4711",-0.512793390324281,0.0425713112536116,2.0479208799628e-33
"18","Treatment speciality of consultant (recoded): General medicine","ukb-b-12646",0.698977241694424,0.0581135313139465,2.53871153344646e-33
"19","Sources of admission to hospital (recoded): Usual Place of residence","ukb-b-20172",0.805960521053325,0.0683345656682377,4.1750268700021e-32
"20","Spells in hospital","ukb-b-1260",0.440055860500058,0.0386640377413472,5.16856079291881e-30
"21","Main speciality of consultant (recoded): Cardiology","ukb-b-16376",0.89944854826171,0.0818703033887334,4.4497884257563e-28
"22","Diagnoses - secondary ICD10: E11.9 Without complications","ukb-b-970",1.07258648345847,0.100093180381424,8.57382160680221e-27
"23","Methods of admission to hospital (recoded): Elective admission: Planned","ukb-b-18853",0.664182719469046,0.0625231245113402,2.32969171286593e-26
"24","Particulate matter air pollution (pm10); 2007","ukb-b-589",0.284364704195808,0.0268151933615524,2.83640767142158e-26
"25","Current employment status: Unable to work because of sickness or disability","ukb-b-14080",0.95006155696836,0.0905447642984826,9.32954252634831e-26
